alpha_absolute,axis,condition,control_scale,decision_flipped,delta_margin,direction,direction_sd,direction_type,intervention,judgment_axis,label,margin,max_relative_norm_drift,mode,random_id,standardized_shift,steering_axis,story_id,strength,topic_idx,vector_kind
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,10.0,0.0,baseline,,0.0,,high_warmth_t019_s00004,0.0,19,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,8.25,0.0,baseline,,0.0,,high_warmth_t003_s00028,0.0,3,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,9.125,0.0,baseline,,0.0,,high_warmth_t008_s00048,0.0,8,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,10.25,0.0,baseline,,0.0,,high_warmth_t035_s00092,0.0,35,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,9.25,0.0,baseline,,0.0,,high_warmth_t056_s00128,0.0,56,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,8.125,0.0,baseline,,0.0,,high_warmth_t057_s00132,0.0,57,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,10.25,0.0,baseline,,0.0,,high_warmth_t066_s00140,0.0,66,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,9.875,0.0,baseline,,0.0,,high_warmth_t078_s00164,0.0,78,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,9.125,0.0,baseline,,0.0,,high_warmth_t079_s00168,0.0,79,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,10.5,0.0,baseline,,0.0,,high_warmth_t097_s00196,0.0,97,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-10.0,0.0,baseline,,0.0,,low_warmth_t019_s00005,0.0,19,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-9.0,0.0,baseline,,0.0,,low_warmth_t003_s00029,0.0,3,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-9.5,0.0,baseline,,0.0,,low_warmth_t008_s00049,0.0,8,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-9.125,0.0,baseline,,0.0,,low_warmth_t035_s00093,0.0,35,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-9.875,0.0,baseline,,0.0,,low_warmth_t056_s00129,0.0,56,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-10.0,0.0,baseline,,0.0,,low_warmth_t057_s00133,0.0,57,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-9.75,0.0,baseline,,0.0,,low_warmth_t066_s00141,0.0,66,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-9.875,0.0,baseline,,0.0,,low_warmth_t078_s00165,0.0,78,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-10.0,0.0,baseline,,0.0,,low_warmth_t079_s00169,0.0,79,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-9.875,0.0,baseline,,0.0,,low_warmth_t097_s00197,0.0,97,raw
-0.355557131767273,warmth,high_warmth,sd_matched,False,-1.625,warmth,0.23373000504589214,target,additive,warmth,1,8.375,0.015168276615440845,steering,,-1.521230154842381,warmth,high_warmth_t019_s00004,-0.1,19,raw
-0.355557131767273,warmth,high_warmth,sd_matched,False,-2.25,warmth,0.23373000504589214,target,additive,warmth,1,6.0,0.015168276615440845,steering,,-1.521230154842381,warmth,high_warmth_t003_s00028,-0.1,3,raw
-0.355557131767273,warmth,high_warmth,sd_matched,False,-1.75,warmth,0.23373000504589214,target,additive,warmth,1,7.375,0.015168276615440845,steering,,-1.521230154842381,warmth,high_warmth_t008_s00048,-0.1,8,raw
-0.355557131767273,warmth,high_warmth,sd_matched,False,-1.5,warmth,0.23373000504589214,target,additive,warmth,1,8.75,0.015168276615440845,steering,,-1.521230154842381,warmth,high_warmth_t035_s00092,-0.1,35,raw
-0.355557131767273,warmth,high_warmth,sd_matched,False,-2.25,warmth,0.23373000504589214,target,additive,warmth,1,7.0,0.015168276615440845,steering,,-1.521230154842381,warmth,high_warmth_t056_s00128,-0.1,56,raw
-0.355557131767273,warmth,high_warmth,sd_matched,False,-2.25,warmth,0.23373000504589214,target,additive,warmth,1,5.875,0.015168276615440845,steering,,-1.521230154842381,warmth,high_warmth_t057_s00132,-0.1,57,raw
-0.355557131767273,warmth,high_warmth,sd_matched,False,-1.125,warmth,0.23373000504589214,target,additive,warmth,1,9.125,0.015168276615440845,steering,,-1.521230154842381,warmth,high_warmth_t066_s00140,-0.1,66,raw
-0.355557131767273,warmth,high_warmth,sd_matched,False,-1.25,warmth,0.23373000504589214,target,additive,warmth,1,8.625,0.015168276615440845,steering,,-1.521230154842381,warmth,high_warmth_t078_s00164,-0.1,78,raw
-0.355557131767273,warmth,high_warmth,sd_matched,False,-1.875,warmth,0.23373000504589214,target,additive,warmth,1,7.25,0.015168276615440845,steering,,-1.521230154842381,warmth,high_warmth_t079_s00168,-0.1,79,raw
-0.355557131767273,warmth,high_warmth,sd_matched,False,-1.5,warmth,0.23373000504589214,target,additive,warmth,1,9.0,0.015168276615440845,steering,,-1.521230154842381,warmth,high_warmth_t097_s00196,-0.1,97,raw
-0.355557131767273,warmth,low_warmth,sd_matched,False,-0.25,warmth,0.23373000504589214,target,additive,warmth,0,-10.25,0.015168276615440845,steering,,-1.521230154842381,warmth,low_warmth_t019_s00005,-0.1,19,raw
-0.355557131767273,warmth,low_warmth,sd_matched,False,-0.125,warmth,0.23373000504589214,target,additive,warmth,0,-9.125,0.015168276615440845,steering,,-1.521230154842381,warmth,low_warmth_t003_s00029,-0.1,3,raw
-0.355557131767273,warmth,low_warmth,sd_matched,False,-0.875,warmth,0.23373000504589214,target,additive,warmth,0,-10.375,0.015168276615440845,steering,,-1.521230154842381,warmth,low_warmth_t008_s00049,-0.1,8,raw
-0.355557131767273,warmth,low_warmth,sd_matched,False,-0.75,warmth,0.23373000504589214,target,additive,warmth,0,-9.875,0.015168276615440845,steering,,-1.521230154842381,warmth,low_warmth_t035_s00093,-0.1,35,raw
-0.355557131767273,warmth,low_warmth,sd_matched,False,-0.5,warmth,0.23373000504589214,target,additive,warmth,0,-10.375,0.015168276615440845,steering,,-1.521230154842381,warmth,low_warmth_t056_s00129,-0.1,56,raw
-0.355557131767273,warmth,low_warmth,sd_matched,False,-0.375,warmth,0.23373000504589214,target,additive,warmth,0,-10.375,0.015168276615440845,steering,,-1.521230154842381,warmth,low_warmth_t057_s00133,-0.1,57,raw
-0.355557131767273,warmth,low_warmth,sd_matched,False,0.25,warmth,0.23373000504589214,target,additive,warmth,0,-9.5,0.015168276615440845,steering,,-1.521230154842381,warmth,low_warmth_t066_s00141,-0.1,66,raw
-0.355557131767273,warmth,low_warmth,sd_matched,False,-0.375,warmth,0.23373000504589214,target,additive,warmth,0,-10.25,0.015168276615440845,steering,,-1.521230154842381,warmth,low_warmth_t078_s00165,-0.1,78,raw
-0.355557131767273,warmth,low_warmth,sd_matched,False,-0.25,warmth,0.23373000504589214,target,additive,warmth,0,-10.25,0.015168276615440845,steering,,-1.521230154842381,warmth,low_warmth_t079_s00169,-0.1,79,raw
-0.355557131767273,warmth,low_warmth,sd_matched,False,0.25,warmth,0.23373000504589214,target,additive,warmth,0,-9.625,0.015168276615440845,steering,,-1.521230154842381,warmth,low_warmth_t097_s00197,-0.1,97,raw
-0.1777785658836365,warmth,high_warmth,sd_matched,False,-0.75,warmth,0.23373000504589214,target,additive,warmth,1,9.25,0.00842973031103611,steering,,-0.7606150774211905,warmth,high_warmth_t019_s00004,-0.05,19,raw
-0.1777785658836365,warmth,high_warmth,sd_matched,False,-0.875,warmth,0.23373000504589214,target,additive,warmth,1,7.375,0.00842973031103611,steering,,-0.7606150774211905,warmth,high_warmth_t003_s00028,-0.05,3,raw
-0.1777785658836365,warmth,high_warmth,sd_matched,False,-0.875,warmth,0.23373000504589214,target,additive,warmth,1,8.25,0.00842973031103611,steering,,-0.7606150774211905,warmth,high_warmth_t008_s00048,-0.05,8,raw
-0.1777785658836365,warmth,high_warmth,sd_matched,False,-0.625,warmth,0.23373000504589214,target,additive,warmth,1,9.625,0.00842973031103611,steering,,-0.7606150774211905,warmth,high_warmth_t035_s00092,-0.05,35,raw
-0.1777785658836365,warmth,high_warmth,sd_matched,False,-0.875,warmth,0.23373000504589214,target,additive,warmth,1,8.375,0.00842973031103611,steering,,-0.7606150774211905,warmth,high_warmth_t056_s00128,-0.05,56,raw
-0.1777785658836365,warmth,high_warmth,sd_matched,False,-1.0,warmth,0.23373000504589214,target,additive,warmth,1,7.125,0.00842973031103611,steering,,-0.7606150774211905,warmth,high_warmth_t057_s00132,-0.05,57,raw
-0.1777785658836365,warmth,high_warmth,sd_matched,False,-0.625,warmth,0.23373000504589214,target,additive,warmth,1,9.625,0.00842973031103611,steering,,-0.7606150774211905,warmth,high_warmth_t066_s00140,-0.05,66,raw
-0.1777785658836365,warmth,high_warmth,sd_matched,False,-0.5,warmth,0.23373000504589214,target,additive,warmth,1,9.375,0.00842973031103611,steering,,-0.7606150774211905,warmth,high_warmth_t078_s00164,-0.05,78,raw
-0.1777785658836365,warmth,high_warmth,sd_matched,False,-0.75,warmth,0.23373000504589214,target,additive,warmth,1,8.375,0.00842973031103611,steering,,-0.7606150774211905,warmth,high_warmth_t079_s00168,-0.05,79,raw
-0.1777785658836365,warmth,high_warmth,sd_matched,False,-0.5,warmth,0.23373000504589214,target,additive,warmth,1,10.0,0.00842973031103611,steering,,-0.7606150774211905,warmth,high_warmth_t097_s00196,-0.05,97,raw
-0.1777785658836365,warmth,low_warmth,sd_matched,False,-0.625,warmth,0.23373000504589214,target,additive,warmth,0,-10.625,0.00842973031103611,steering,,-0.7606150774211905,warmth,low_warmth_t019_s00005,-0.05,19,raw
-0.1777785658836365,warmth,low_warmth,sd_matched,False,0.125,warmth,0.23373000504589214,target,additive,warmth,0,-8.875,0.00842973031103611,steering,,-0.7606150774211905,warmth,low_warmth_t003_s00029,-0.05,3,raw
-0.1777785658836365,warmth,low_warmth,sd_matched,False,-0.375,warmth,0.23373000504589214,target,additive,warmth,0,-9.875,0.00842973031103611,steering,,-0.7606150774211905,warmth,low_warmth_t008_s00049,-0.05,8,raw
-0.1777785658836365,warmth,low_warmth,sd_matched,False,-0.125,warmth,0.23373000504589214,target,additive,warmth,0,-9.25,0.00842973031103611,steering,,-0.7606150774211905,warmth,low_warmth_t035_s00093,-0.05,35,raw
-0.1777785658836365,warmth,low_warmth,sd_matched,False,-0.375,warmth,0.23373000504589214,target,additive,warmth,0,-10.25,0.00842973031103611,steering,,-0.7606150774211905,warmth,low_warmth_t056_s00129,-0.05,56,raw
-0.1777785658836365,warmth,low_warmth,sd_matched,False,-0.375,warmth,0.23373000504589214,target,additive,warmth,0,-10.375,0.00842973031103611,steering,,-0.7606150774211905,warmth,low_warmth_t057_s00133,-0.05,57,raw
-0.1777785658836365,warmth,low_warmth,sd_matched,False,0.125,warmth,0.23373000504589214,target,additive,warmth,0,-9.625,0.00842973031103611,steering,,-0.7606150774211905,warmth,low_warmth_t066_s00141,-0.05,66,raw
-0.1777785658836365,warmth,low_warmth,sd_matched,False,-0.75,warmth,0.23373000504589214,target,additive,warmth,0,-10.625,0.00842973031103611,steering,,-0.7606150774211905,warmth,low_warmth_t078_s00165,-0.05,78,raw
-0.1777785658836365,warmth,low_warmth,sd_matched,False,-0.125,warmth,0.23373000504589214,target,additive,warmth,0,-10.125,0.00842973031103611,steering,,-0.7606150774211905,warmth,low_warmth_t079_s00169,-0.05,79,raw
-0.1777785658836365,warmth,low_warmth,sd_matched,False,-0.125,warmth,0.23373000504589214,target,additive,warmth,0,-10.0,0.00842973031103611,steering,,-0.7606150774211905,warmth,low_warmth_t097_s00197,-0.05,97,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,0.23373000504589214,target,additive,warmth,1,10.0,0.0,steering,,0.0,warmth,high_warmth_t019_s00004,0.0,19,raw
